POI_ID,POI_Type,Name,Latitude,Longitude
64638677,School,Sanghamitta College,6.0471249,80.2121695
64638681,School,Mahinda College,6.0494692,80.2151194
77844735,School,Ceylinco Sussex College - Bandarawella,6.8390855,80.97719
91029264,School,Ceylinco Sussex College - Galle,6.0562827,80.2043969
138741738,School,Sacred Heart Convent,6.0365987,80.2110256
138741751,School,Saint Aloysius College,6.0361207,80.2121328
254367496,School,Thakshila Central College,6.7120268,80.0619358
256542591,School,Somaweera Chandrasiri Junior School,6.8033559,79.9230047
257676186,School,Sripalee Vidyalaya,6.707453,80.068539
257676329,School,Thakshila primary,6.7139662,80.0705634
257676382,School,Rajakeeya Vidyalaya,6.7168268,80.0693193
259648485,School,Kingston College International,6.87985,79.8624412
262607762,School,Gateway College,6.9027708,79.9002729
263179681,School,Kingswood College,7.2776601,80.6157935
269067771,School,Muslim Ladies College,6.8816677,79.8614288
310166110,School,Unknown,6.0802882,80.1926041
445281002,School,Athulathmudali Maha vidyalaya,6.5219377,80.1116326
543854412,School,St. Johns College,6.7229739,79.9142091
543871109,School,Panadura Balika Vidyalaya,6.7133598,79.908312
599713336,School,Deepangoda Sri Medhananda Maha Vidyalaya,6.816558,79.9820128
599742328,School,President's College,6.8396183,80.0035762
599742332,School,Niyandagala Kanishta Vidyalaya,6.826409,79.9894893
599762465,School,Vidyadeepa Maha Vidyalaya,6.8295514,79.966435
599762488,School,Deepangoda Primary School,6.812792,79.9829103
599822882,School,"Ananda Vidyalaya,  Kottawa",6.8442343,79.9581677
599822883,School,Dharmapala Vidyalaya Kottawa North,6.8655244,79.9584867
617205465,School,Vidya Wardana,6.8880799,79.9299768
618005039,School,President's College,6.8443786,79.9296221
618005040,School,Vidyakara Balika Vidyalaya,6.8451252,79.9260058
618491025,School,Ananda College,6.9243358,79.8685501
618551719,School,Weluwana Vidyalaya,6.926872,79.8798243
618552113,School,Seewali Vidyalaya,6.9235384,79.8805968
619035512,School,Unknown,6.8729831,79.8885472
619923261,School,Buwanekaba Vidyalaya,6.8488433,79.9249391
620382575,School,Ladies College,6.9078747,79.8579211
620382897,School,Mahanama College,6.9054542,79.8538312
620524466,School,Sri Rahula Balika Maha Vidyalaya,6.9036373,79.9561321
621180350,School,Bollegala Maha Vidyalayaa,6.9443959,79.9481511
621195734,School,Wedamulla Vidyalaya,6.9671653,79.9012554
621199763,School,Lyceum Int. School,6.9874098,79.8871362
621925764,School,Presbyterian Girls School,6.850498,79.8633844
621950381,School,St. Mary's College,6.8600104,79.8657984
621993734,School,Sirimavo Bandaranayake Vidyalaya,6.8950117,79.8636526
625833966,School,Vidyaraja Maha Vidyalaya,6.8813645,79.9597468
633745114,School,Ranpokunagama Maha Vidyalaya,7.1325742,80.1064131
637044384,School,Siddhartha Vidyalaya,6.8676383,79.9160249
642970355,School,Ananda Balika Vidyalaya,6.8851191,79.8972652
643015381,School,Buddhagosha College,6.8654991,79.8715531
644607603,School,S W R D Bandaranayake School,6.9118886,79.8869455
644610676,School,British School,6.9061448,79.8775192
652380047,School,Lyceum International School,6.7257226,79.9049301
652394763,School,German Technical Institute,6.8035952,79.887687
652406107,School,Girls High School,6.8346059,79.8649848
652636947,School,Kalegana Piyatissa Vidyalaya,6.0576123,80.2013754
