year_month,Distributor_ID,Seasonality_Index
2023-01,DIST_W_01,Moderate
2023-01,DIST_NW_01,Moderate
2023-01,DIST_C_03,Moderate
2023-01,DIST_S_01,Favorable
2023-01,DIST_C_02,Moderate
2023-01,DIST_C_01,Moderate
2023-01,DIST_S_02,Favorable
2023-01,DIST_W_03,Moderate
2023-01,DIST_W_02,Moderate
2023-01,DIST_NW_02,Moderate
2023-02,DIST_NW_01,Moderate
2023-02,DIST_W_03,Moderate
2023-02,DIST_W_01,Moderate
2023-02,DIST_S_02,Favorable
2023-02,DIST_C_01,Moderate
2023-02,DIST_NW_02,Moderate
2023-02,DIST_W_02,Moderate
2023-02,DIST_C_03,Moderate
2023-02,DIST_S_01,Favorable
2023-02,DIST_C_02,Moderate
2023-03,DIST_C_02,Moderate
2023-03,DIST_W_02,Moderate
2023-03,DIST_C_03,Moderate
2023-03,DIST_W_01,Moderate
2023-03,DIST_NW_01,Moderate
2023-03,DIST_W_03,Moderate
2023-03,DIST_S_02,Moderate
2023-03,DIST_C_01,Moderate
2023-03,DIST_S_01,Moderate
2023-03,DIST_NW_02,Moderate
2023-04,DIST_NW_02,Favorable
2023-04,DIST_NW_01,Favorable
2023-04,DIST_S_01,Favorable
2023-04,DIST_C_02,Favorable
2023-04,DIST_C_03,Favorable
2023-04,DIST_C_01,Favorable
2023-04,DIST_W_03,Favorable
2023-04,DIST_W_02,Favorable
2023-04,DIST_S_02,Favorable
2023-04,DIST_W_01,Favorable
2023-05,DIST_C_03,Moderate
2023-05,DIST_C_01,Moderate
2023-05,DIST_NW_01,Moderate
2023-05,DIST_S_01,Un-Favorable
2023-05,DIST_W_01,Un-Favorable
2023-05,DIST_S_02,Un-Favorable
2023-05,DIST_NW_02,Moderate
2023-05,DIST_C_02,Moderate
2023-05,DIST_W_03,Un-Favorable
2023-05,DIST_W_02,Un-Favorable
2023-06,DIST_NW_01,Moderate
2023-06,DIST_NW_02,Moderate
2023-06,DIST_S_02,Un-Favorable
2023-06,DIST_S_01,Un-Favorable
2023-06,DIST_C_03,Moderate
2023-06,DIST_W_03,Un-Favorable
2023-06,DIST_C_01,Moderate
2023-06,DIST_W_02,Un-Favorable
2023-06,DIST_W_01,Un-Favorable
2023-06,DIST_C_02,Moderate
2023-07,DIST_S_02,Moderate
2023-07,DIST_W_03,Moderate
2023-07,DIST_C_02,Moderate
2023-07,DIST_W_02,Moderate
2023-07,DIST_NW_01,Moderate
2023-07,DIST_NW_02,Moderate
2023-07,DIST_C_03,Moderate
2023-07,DIST_S_01,Moderate
2023-07,DIST_W_01,Moderate
2023-07,DIST_C_01,Moderate
2023-08,DIST_W_01,Moderate
2023-08,DIST_C_01,Favorable
2023-08,DIST_NW_02,Moderate
2023-08,DIST_NW_01,Moderate
2023-08,DIST_W_03,Moderate
2023-08,DIST_C_03,Favorable
2023-08,DIST_W_02,Moderate
2023-08,DIST_S_01,Moderate
2023-08,DIST_C_02,Favorable
2023-08,DIST_S_02,Moderate
2023-09,DIST_S_01,Moderate
2023-09,DIST_S_02,Moderate
2023-09,DIST_W_03,Moderate
2023-09,DIST_NW_02,Moderate
2023-09,DIST_W_01,Moderate
2023-09,DIST_W_02,Moderate
2023-09,DIST_C_01,Moderate
2023-09,DIST_C_02,Moderate
