Date,Holiday_Name,Holiday_Type
2023-01-06,Duruthu Full Moon Poya Day,Public
2023-01-06,Duruthu Full Moon Poya Day,Public
2023-01-06,Duruthu Full Moon Poya Day,Poya Day
2023-01-06,Duruthu Full Moon Poya Day,Mercantile
2023-01-06,Duruthu Full Moon Poya Day,Bank
2023-01-06,Duruthu Full Moon Poya Day,Poya Day
2023-01-06,Duruthu Full Moon Poya Day,Mercantile
2023-01-06,Duruthu Full Moon Poya Day,Bank
2023-01-15,Tamil Thai Pongal Day,Bank
2023-01-15,Tamil Thai Pongal Day,Mercantile
2023-01-15,Tamil Thai Pongal Day,Mercantile
2023-01-15,Tamil Thai Pongal Day,Public
2023-01-15,Tamil Thai Pongal Day,Public
2023-01-15,Tamil Thai Pongal Day,Bank
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Bank
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Mercantile
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Public
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Mercantile
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Bank
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Public
2023-02-03,Additional Half Holiday in lieu of the Independence Day  falling on Saturday,Bank
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Mercantile
2023-02-03,Additional Half Holiday in lieu of the Independence Day  falling on Saturday,Mercantile
2023-02-03,Additional Half Holiday in lieu of the Independence Day  falling on Saturday,Public
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Bank
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Public
2023-02-04,National Day,Public
2023-02-04,National Day,Mercantile
2023-02-04,National Day,Public
2023-02-04,National Day,Bank
2023-02-04,National Day,Mercantile
2023-02-04,National Day,Bank
2023-02-05,Navam Full Moon Poya Day,Public
2023-02-05,Navam Full Moon Poya Day,Mercantile
2023-02-05,Navam Full Moon Poya Day,Bank
2023-02-05,Navam Full Moon Poya Day,Bank
2023-02-05,Navam Full Moon Poya Day,Poya Day
