Outlet_ID,Distributor_ID
OUT_00001,DIST_W_03
OUT_00002,DIST_W_02
OUT_00003,DIST_W_02
OUT_00004,DIST_W_01
OUT_00005,DIST_W_03
OUT_00006,DIST_W_02
OUT_00007,DIST_W_03
OUT_00008,DIST_W_01
OUT_00009,DIST_W_03
OUT_00010,DIST_W_01
OUT_00011,DIST_W_02
OUT_00012,DIST_W_02
OUT_00013,DIST_W_01
OUT_00014,DIST_W_01
OUT_00015,DIST_W_01
OUT_00016,DIST_W_03
OUT_00017,DIST_W_03
OUT_00018,DIST_W_02
OUT_00019,DIST_W_01
OUT_00020,DIST_W_02
OUT_00021,DIST_W_03
OUT_00022,DIST_W_01
OUT_00023,DIST_W_03
OUT_00024,DIST_W_01
OUT_00025,DIST_W_03
OUT_00026,DIST_W_01
OUT_00027,DIST_W_02
OUT_00028,DIST_W_03
OUT_00029,DIST_W_02
OUT_00030,DIST_W_01
OUT_00031,DIST_W_03
OUT_00032,DIST_W_02
OUT_00033,DIST_W_03
OUT_00034,DIST_W_03
OUT_00035,DIST_W_01
OUT_00036,DIST_W_03
OUT_00037,DIST_W_03
OUT_00038,DIST_W_03
OUT_00039,DIST_W_01
OUT_00040,DIST_W_01
OUT_00041,DIST_W_03
OUT_00042,DIST_W_02
OUT_00043,DIST_W_01
OUT_00044,DIST_W_01
OUT_00045,DIST_W_03
OUT_00046,DIST_W_02
OUT_00047,DIST_W_03
OUT_00048,DIST_W_01
OUT_00049,DIST_W_01
OUT_00050,DIST_W_01
OUT_00051,DIST_W_01
OUT_00052,DIST_W_02
OUT_00053,DIST_W_02
OUT_00054,DIST_W_02
OUT_00055,DIST_W_01
OUT_00056,DIST_W_02
OUT_00057,DIST_W_02
OUT_00058,DIST_W_03
OUT_00059,DIST_W_02
OUT_00060,DIST_W_02
OUT_00061,DIST_W_01
OUT_00062,DIST_W_01
OUT_00063,DIST_W_03
OUT_00064,DIST_W_03
OUT_00065,DIST_W_02
OUT_00066,DIST_W_01
OUT_00067,DIST_W_02
OUT_00068,DIST_W_03
OUT_00069,DIST_W_02
OUT_00070,DIST_W_02
OUT_00071,DIST_W_02
OUT_00072,DIST_W_03
OUT_00073,DIST_W_03
OUT_00074,DIST_W_03
OUT_00075,DIST_W_03
OUT_00076,DIST_W_01
OUT_00077,DIST_W_02
OUT_00078,DIST_W_01
OUT_00079,DIST_W_03
OUT_00080,DIST_W_03
OUT_00081,DIST_W_01
OUT_00082,DIST_W_02
OUT_00083,DIST_W_01
OUT_00084,DIST_W_01
OUT_00085,DIST_W_03
OUT_00086,DIST_W_02
OUT_00087,DIST_W_02
OUT_00088,DIST_W_02
OUT_00089,DIST_W_02
OUT_00090,DIST_W_02
OUT_00091,DIST_W_02
OUT_00092,DIST_W_02
OUT_00093,DIST_W_02
OUT_00094,DIST_W_03
OUT_00095,DIST_W_01
OUT_00096,DIST_W_03
OUT_00097,DIST_W_03
OUT_00098,DIST_W_03
OUT_00099,DIST_W_03
OUT_00100,DIST_W_02
OUT_00101,DIST_W_01
OUT_00102,DIST_W_01
OUT_00103,DIST_W_02
OUT_00104,DIST_W_02
OUT_00105,DIST_W_01
OUT_00106,DIST_W_02
OUT_00107,DIST_W_03
OUT_00108,DIST_W_01
OUT_00109,DIST_W_02
OUT_00110,DIST_W_01
OUT_00111,DIST_W_02
OUT_00112,DIST_W_02
